Muscle Group;Exercise ;Equipment Required ;Force Type ;Experience Level ;Link
Lats;Close Grip Lat Pull Down ;Cable ;Pull;Beginner ;https://www.muscleandstrength.com/exercises/close-grip-pull-down.html?_gl=1*1ihs8ox*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjEwOTIkbzIkZzAkdDE3NjM0NjEwOTIkajYwJGwwJGgw
Lats;Wide Grip Lat Pull Down;Cable ;Pull;Beginner ;https://www.muscleandstrength.com/exercises/wide-grip-pull-down?_gl=1*19qfb1u*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjEwOTIkbzIkZzAkdDE3NjM0NjEwOTIkajYwJGwwJGgw
Lats;Pull Up ;Cable ;Pull;Beginner ;https://www.muscleandstrength.com/exercises/pull-up?_gl=1*dzlnvg*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjEwOTIkbzIkZzAkdDE3NjM0NjEwOTIkajYwJGwwJGgw
Lats;Shotgun Row ;Cable ;Pull;Beginner ;https://www.muscleandstrength.com/exercises/standing-one-arm-cable-row.html?_gl=1*dzlnvg*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjEwOTIkbzIkZzAkdDE3NjM0NjEwOTIkajYwJGwwJGgw
Lats;Thibaudeau Kayak Row ;Cable ;Pull;Intermediate ;https://www.muscleandstrength.com/exercises/thibaudeau-kayak-row?_gl=1*s7rljo*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjEwOTIkbzIkZzAkdDE3NjM0NjEwOTIkajYwJGwwJGgw
Upper back ;Bent Over Dumbbell Row;Dumbbell;Pull ;Beginner;https://www.muscleandstrength.com/exercises/bent-over-dumbbell-row.html?_gl=1*17nhzdo*_up*MQ..*_ga*NDIyMzcxNTY4LjE3NjM0NjExOTA.*_ga_EHWPJCEX93*czE3NjM0NjExOTAkbzEkZzEkdDE3NjM0NjEyMDQkajQ2JGwwJGgw
Upper back ;Bent Over Row;Barbell;Pull ;Beginner;https://www.muscleandstrength.com/exercises/bent-over-barbell-row.html?_gl=1*9n543r*_up*MQ..*_ga*NDIyMzcxNTY4LjE3NjM0NjExOTA.*_ga_EHWPJCEX93*czE3NjM0NjExOTAkbzEkZzEkdDE3NjM0NjEyNTIkajYwJGwwJGgw
Upper back ;Seated Cable Row;Cable;Pull ;Beginner;https://www.muscleandstrength.com/exercises/seated-row.html?_gl=1*11855v*_up*MQ..*_ga*NDIyMzcxNTY4LjE3NjM0NjExOTA.*_ga_EHWPJCEX93*czE3NjM0NjExOTAkbzEkZzEkdDE3NjM0NjEyOTMkajYwJGwwJGgw
Upper back ;One-Arm Seated Cable Row;Cable;Pull ;Beginner;https://www.muscleandstrength.com/exercises/one-arm-cable-row.html?_gl=1*ns1dlz*_up*MQ..*_ga*NDIyMzcxNTY4LjE3NjM0NjExOTA.*_ga_EHWPJCEX93*czE3NjM0NjExOTAkbzEkZzEkdDE3NjM0NjEzMjUkajYwJGwwJGgw
Upper back ;Incline Bench Two Arm Dumbbell;Dumbbell;Pull ;Beginner;https://www.muscleandstrength.com/exercises/incline-bench-two-arm-dumbbell-row.html?_gl=1*1q63f95*_up*MQ..*_ga*MTE5MTUyMjU0OS4xNzYzNDYxNDIz*_ga_EHWPJCEX93*czE3NjM0NjE0MjMkbzEkZzAkdDE3NjM0NjE0MjMkajYwJGwwJGgw
Upper back ;Seated High Cable Row ;Cable;Pull ;Beginner;https://www.muscleandstrength.com/exercises/seated-high-cable-row.html?_gl=1*1ytm286*_up*MQ..*_ga*NzcwNzY3NDc0LjE3NjM0NjE0NjE.*_ga_EHWPJCEX93*czE3NjM0NjE0NjEkbzEkZzAkdDE3NjM0NjE0NjEkajYwJGwwJGgw
Lower back ;Dumbbell Deadlift;Dumbbell;Pull;Beginner;https://www.muscleandstrength.com/exercises/dumbbell-deadlift.html?_gl=1*1hsj9vf*_up*MQ..*_ga*MTM5MDI2MjEzMi4xNzYzNDYxNzMz*_ga_EHWPJCEX93*czE3NjM0NjE3MzMkbzEkZzEkdDE3NjM0NjE3NDIkajUxJGwwJGgw
Lower back ;Superman;Bodyweight;Pull;Beginner;https://www.muscleandstrength.com/exercises/superman?_gl=1*1xeeh45*_up*MQ..*_ga*MjAzNTIyNjQyMy4xNzYzNDYzMjE2*_ga_EHWPJCEX93*czE3NjM0NjMyMTUkbzEkZzAkdDE3NjM0NjMyMTUkajYwJGwwJGgw
Lower back ;90/90 Hip Crossover;Bodyweight;Pull;Beginner;https://www.muscleandstrength.com/exercises/90-90-hip-crossover?_gl=1*tngq64*_up*MQ..*_ga*ODgwODMwMTUzLjE3NjM0NjMyNTc.*_ga_EHWPJCEX93*czE3NjM0NjMyNTckbzEkZzAkdDE3NjM0NjMyNTckajYwJGwwJGgw
Lower back ;Rollover Into V-Sits;Bodyweight;Pull;Beginner;https://www.muscleandstrength.com/exercises/rollover-into-v-sits?_gl=1*ski4lo*_up*MQ..*_ga*MTE2NjgwNTQ3Mi4xNzYzNDYzMjc4*_ga_EHWPJCEX93*czE3NjM0NjMyNzgkbzEkZzAkdDE3NjM0NjMyNzgkajYwJGwwJGgw
Traps ;Dumbbell Shrug ;Dumbbell ;Pull;Beginner;https://www.muscleandstrength.com/exercises/dumbbell-shrugs.html?_gl=1*1a6ms5q*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjE1MTIkbzIkZzAkdDE3NjM0NjE1MTIkajYwJGwwJGgw
Traps ;Barbell Upright Row ;Barbell ;Pull;Beginner;https://www.muscleandstrength.com/exercises/upright-row.html?_gl=1*1j5apq5*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjE1MTIkbzIkZzAkdDE3NjM0NjE1MTIkajYwJGwwJGgw
Traps ;High Pull ;Barbell ;Pull;Intermediate ;https://www.muscleandstrength.com/exercises/high-pull?_gl=1*mc321f*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjE1MTIkbzIkZzAkdDE3NjM0NjE1MTIkajYwJGwwJGgw
Traps ;Inverted Shrug ;Barbell ;Pull;Intermediate ;https://www.muscleandstrength.com/exercises/inverted-shrug?_gl=1*t9eejx*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjE1MTIkbzIkZzAkdDE3NjM0NjE1MTIkajYwJGwwJGgw
Traps ;Trap Bar Shrug ;Trap Bar ;Pull ;Beginner;https://www.muscleandstrength.com/exercises/trap-bar-shrug?_gl=1*1yz2kcj*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjE1MTIkbzIkZzAkdDE3NjM0NjE1MTIkajYwJGwwJGgw
Traps ;One-Arm Dumbbell Upright Row ;Dumbbell ;Pull;Beginner;https://www.muscleandstrength.com/exercises/one-arm-dumbbell-upright-row.html?_gl=1*f31xic*_up*MQ..*_ga*MTAyODc0MjI1MC4xNzYzNDU5MTM0*_ga_EHWPJCEX93*czE3NjM0NjE1MTIkbzIkZzAkdDE3NjM0NjE1MTIkajYwJGwwJGgw
